Engineering_Branch,Student_Status,CGPA,Python_Proficiency,CPP_Proficiency,Java_Proficiency,MATLAB_Proficiency,DSA_Understanding,Database_SQL_Understanding,OOP_Understanding,OS_Understanding,Technical_Tools,Project_Count,Project_Domain,Internship_Experience,Preparation_Domain,Confidence_Level,Job_Role
Mechanical,Alumni (Graduated),7.63,1,1,1,3,2,3,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers,3-4,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Civil Engineer
CSE,Alumni (Graduated),8.26,3,5,4,1,5,4,5,5,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Software Development,5.0,Software Developer
ECE,4th year student,8.66,4,2,4,3,5,5,4,3,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Machine Learning Engineer
CSE,Alumni (Graduated),9.17,4,2,3,2,4,5,4,3,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Mixed domains,Data Science / AI Internship,Embedded Systems / Electronics,5.0,Data Scientist
Electrical,4th year student,8.08,3,4,2,1,4,3,3,5,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Software Development,4.0,DevOps Engineer
AI,4th year student,8.69,4,5,4,1,4,3,5,4,Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,5.0,Software Developer
Civil,4th year student,6.84,2,2,1,5,3,1,2,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Core Engineering,Core Engineering Internship,Core Engineering,5.0,Mechanical Design Engineer
AI,Alumni (Graduated),8.34,3,3,3,4,4,4,4,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Software Development,Data Science / AI Internship,Data Science / AI,5.0,Data Scientist
Mechanical,Alumni (Graduated),7.62,1,2,1,3,2,1,4,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),5+,Core Engineering,No internship,Core Engineering,3.0,Civil Engineer
CSE,Alumni (Graduated),9.01,1,2,1,3,2,2,2,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; MATLAB / Simulink,3-4,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Mechanical Design Engineer
AI,4th year student,8.69,4,2,4,3,4,4,3,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; Machine Learning / Deep Learning,5+,Data Science / AI,Software Development Internship,Data Science / AI,5.0,Machine Learning Engineer
CSE,Alumni (Graduated),8.33,5,2,3,4,4,3,3,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Software Development,4.0,Machine Learning Engineer
Chemical,Alumni (Graduated),7.56,4,4,3,4,2,3,3,5,ANSYS / Simulation tools; Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,0,Robotics / Embedded Systems,Software Development Internship,Core Engineering,2.0,Embedded Systems Engineer
Mechanical,Alumni (Graduated),5.19,2,2,1,3,1,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),5+,Core Engineering,Core Engineering Internship,Embedded Systems / Electronics,1.0,Manufacturing Engineer
Electrical,4th year student,7.89,4,4,1,2,3,4,1,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
CSE,Alumni (Graduated),9.47,4,4,3,1,4,3,4,5,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,1-2,Software Development,Data Science / AI Internship,Software Development,4.0,Software Developer
AI,4th year student,6.81,3,4,5,1,4,4,3,3,Data Analysis (Python / Excel / Pandas),3-4,Core Engineering,Software Development Internship,Software Development,2.0,Software Developer
ECE,4th year student,6.46,3,5,4,2,4,3,4,2,Data Analysis (Python / Excel / Pandas),3-4,Mixed domains,No internship,Software Development,5.0,Software Developer
ECE,Alumni (Graduated),8.07,3,4,1,2,4,2,2,3,Circuit design tools; Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
CSE,4th year student,8.35,3,5,2,4,2,4,3,4,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,5+,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,5.0,Embedded Systems Engineer
AI,4th year student,8.25,2,4,4,2,5,4,4,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,5.0,Software Developer
CSE,Alumni (Graduated),7.11,1,2,2,4,1,1,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Machine Learning / Deep Learning,1-2,Data Science / AI,No internship,Core Engineering,3.0,Manufacturing Engineer
Mechanical,4th year student,6.38,2,1,2,4,2,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; MATLAB / Simulink; Machine Learning / Deep Learning,0,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
Mechanical,4th year student,7.68,1,1,1,1,1,2,1,1,ANSYS / Simulation tools,5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
Metallurgy,4th year student,7.4,2,2,2,4,1,2,3,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,5+,Core Engineering,Core Engineering Internship,Core Engineering,5.0,Mechanical Design Engineer
Mechanical,Alumni (Graduated),7.79,1,2,2,3,2,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,3-4,Mixed domains,Core Engineering Internship,Core Engineering,1.0,Manufacturing Engineer
Mechanical,Alumni (Graduated),5.4,1,2,2,2,1,1,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Embedded systems / microcontrollers,3-4,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Civil Engineer
AI,Alumni (Graduated),7.96,4,3,2,3,5,4,3,5,Circuit design tools; Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Data Science / AI,No internship,Data Science / AI,4.0,Machine Learning Engineer
Metallurgy,Alumni (Graduated),9.86,2,1,2,1,1,1,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Core Engineering,No internship,Core Engineering,3.0,Civil Engineer
AI,Alumni (Graduated),8.6,4,4,5,2,4,4,3,4,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,3-4,Software Development,Software Development Internship,Software Development,3.0,Software Developer
AI,4th year student,7.38,4,4,3,1,4,3,4,3,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Software Development,No internship,Software Development,4.0,Software Developer
Civil,4th year student,6.75,3,2,1,4,2,1,3,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,1-2,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Mechanical Design Engineer
ECE,4th year student,7.0,4,1,2,3,2,4,1,1,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Software Development,No internship,Data Science / AI,3.0,Data Analyst
ECE,Alumni (Graduated),6.79,3,5,3,2,3,5,4,4,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,5+,Software Development,Software Development Internship,Software Development,3.0,Software Developer
AI,4th year student,8.47,5,2,3,2,4,3,4,1,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Scientist
Metallurgy,4th year student,7.33,1,2,1,4,3,1,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
ECE,4th year student,6.73,4,4,4,1,5,4,5,3,Data Analysis (Python / Excel / Pandas),3-4,Core Engineering,No internship,Software Development,5.0,Software Developer
